sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230130NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230109NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230122NY067030317A	no_metadata	suny_upstate	NA	NA	NA	NA	no_metadata
20230103NY059026450A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230328NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230111NY093020516A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230103NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230228NY073028401A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230110NY059026778A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230209NY077031151A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230214NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230307NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230129NY067027618A	no_metadata	suny_upstate	NA	NA	NA	NA	no_metadata
20230327NY063026336A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230227NY119108324A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230103NY043020486A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230104NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230308NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230123NY013027961A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230301NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230208NY095024201A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230123NY029026395B	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230228NY037026514A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230412NY079031356A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230123NY029028410A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230310NY029027693A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230124NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230327NY063027979A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230223NY063027979A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230108NY059026450A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230123NY013027570A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230126NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230222NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230111NY105024520A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230123NY029026395C	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230411NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230111NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230205NY023027561A	no_metadata	u_of_rochester	NA	NA	NA	NA	no_metadata
20230228NY037030546A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230110NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230228NY073021873A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230105NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230105NY101023906A	no_metadata	u_of_rochester	NA	NA	NA	NA	no_metadata
20230313NY013027961A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230117NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230329NY001026875C	no_metadata	suny_upstate	NA	NA	NA	NA	no_metadata
20230208NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230412NY071026522A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230329NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230207NY089236586A	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230117NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230213NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230215NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230123NY029022543A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230123NY029025950B	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230404NY059026620A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230316NY029027693A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230104NY055028339A	no_metadata	u_of_rochester	NA	NA	NA	NA	no_metadata
20230323NY029027693A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230202NY029028436A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230202NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230123NY063026336A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230206NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230306NY063026336A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230216NY029095401A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230406NY089236586A	no_metadata	suny_upstate	NA	NA	NA	NA	no_metadata
20230104NY027149209A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230412NY071026310B	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230109NY119026701A	no_metadata	nymc	NA	NA	NA	NA	no_metadata
20230123NY029095401A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230105NY101025721A	no_metadata	u_of_rochester	NA	NA	NA	NA	no_metadata
20230306NY013027961A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230227NY063026336A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230302NY029027693A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230131NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230119NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	no_metadata
20230123NY029022136A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230123NY009027162A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230406NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230228NY119026786A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY087026051A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY039020389A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY075029106A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY053021539A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230221NY051030635A	no_file	NA	NA	NA	NA	NA	no_file
20230103NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230326NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230306NY033029939A	no_file	NA	NA	NA	NA	NA	no_file
20230324NY079031356A	no_file	NA	NA	NA	NA	NA	no_file
20230320NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
