sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20221101NY071027901A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230126NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221030NY067027081A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230821NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230222NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230221NY019026018A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20220913NY045025984B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230307NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230228NY073028401A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230131NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230829NY089031194A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20230703NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221101NY101025721A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221031NY031021733A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221101NY093020516A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230905NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20221101NY121021504A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230111NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230808NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230105NY101023906A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20230516NY065021385A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230803NY115183695A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230411NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
