callout_group,lineage
Other,GL.1
Other,GL.2
Other,GL.3
XBB,GM.1
XBB,GM.2
XBB,GM.3
XBB,GM.3.1
XBB.1.5,GN.1
XBB.1.5,GN.1.1
XBB.1.5,GN.1.2
XBB.1.5,GN.1.3
XBB.1.5,GN.1.4
XBB.1.5,GN.2
XBB.1.5,GN.3
XBB.1.5,GN.4
XBB.1.5,GN.5
BA.2,GP.1
BA.2,GP.2
BA.2,GP.3
BA.2,GQ.1
BA.2,GQ.1.1
XBB.1.5,GR.1
XBB,GS.1
XBB,GS.2
XBB,GS.3
XBB,GS.4
XBB,GS.4.1
XBB,GS.4.1.1
XBB,GS.5
XBB,GS.6
XBB,GS.7
XBB,GS.7.1
XBB,GS.8
Other,GT.1
XBB.1.5,GU.1
XBB.1.5,GV.1
XBB,GW.1
XBB,GW.1.1
XBB,GW.2
XBB,GW.3
XBB,GW.4
XBB,GW.5
XBB,GW.5.1
XBB,GW.5.1.1
XBB,GW.5.2
XBB,GW.5.3
XBB,GW.5.3.1
XBB.1.16,GY.1
XBB.1.16,GY.1.1
XBB.1.16,GY.1.1.1
XBB.1.16,GY.2
XBB.1.16,GY.2.1
XBB.1.16,GY.3
XBB.1.16,GY.4
XBB.1.16,GY.5
XBB.1.16,GY.6
XBB.1.16,GY.7
XBB.1.16,GY.8
XBB.1.16,GY.9
XBB,GZ.1
XBB.1.5,HA.1
XBB.1.5,HA.2
Other,HB.1
XBB.1.5,HC.1
XBB.1.5,HC.2
XBB.1.5,HC.3
XBB.1.5,HC.4
XBB.1.5,HD.1
XBB.1.5,HD.1.1
XBB,HE.1
XBB,HE.2
XBB.1.16,HF.1
XBB.1.16,HF.1.1
XBB.1.16,HF.1.2
XBB,HG.1
XBB,HG.1.1
XBB,HG.2
XBB,HG.3
XBB,HH.1
XBB,HH.1.1
XBB,HH.2
XBB,HH.2.1
XBB,HH.3
XBB,HH.4
XBB,HH.5
XBB,HH.6
XBB,HH.7
XBB,HH.8
XBB,HH.8.1
XBB.1.5,HJ.1
XBB.1.9,HK.1
XBB.1.9,HK.1.2
XBB.1.9,HK.11
XBB.1.9,HK.11.1
XBB.1.9,HK.12
XBB.1.9,HK.13
XBB.1.9,HK.13.1
XBB.1.9,HK.13.2
XBB.1.9,HK.13.2.1
XBB.1.9,HK.14
XBB.1.9,HK.15
XBB.1.9,HK.16
XBB.1.9,HK.17
XBB.1.9,HK.18
XBB.1.9,HK.19
XBB.1.9,HK.2
XBB.1.9,HK.2.1
XBB.1.9,HK.20
XBB.1.9,HK.20.1
XBB.1.9,HK.21
XBB.1.9,HK.22
XBB.1.9,HK.23
XBB.1.9,HK.23.1
XBB.1.9,HK.23.1.1
XBB.1.9,HK.24
XBB.1.9,HK.24.1
XBB.1.9,HK.25
XBB.1.9,HK.26
XBB.1.9,HK.26.1
XBB.1.9,HK.27
XBB.1.9,HK.27.1
XBB.1.9,HK.27.1.1
XBB.1.9,HK.28
XBB.1.9,HK.29
XBB.1.9,HK.3
XBB.1.9,HK.3.1
XBB.1.9,HK.3.10
XBB.1.9,HK.3.11
