"county","county_names","region","zipcode","wwtp_name","sw_id","epaid","cdc_id","site_id","sample_location","sample_location_specify","method","capacity_mgd","population_served","institution_type","reporting_jurisdiction","wwtp_jurisdiction","wwtp_latitude","wwtp_longitude"
"Albany",36001,"Capital",12084,"Guilderland - T STP","36001NY0022225ACWWF","NY0022225","NY001022225A","NY001022225A","wwtp","Town of Guilderland","Influent",3.6,21281,"not institution specific","ny","ny",42.69,-73.91
"Albany",36001,"Capital",12045,"Coeymans-Ravena WPCF","36001NY0022772ACWWI","NY0022772","NY001022772A","NY001022772A","wwtp","Village of Ravena","Influent",0.82,3930,"not institution specific","ny","ny",42.47,-73.79
"Albany",36001,"Capital",12158,"Town of Bethlehem - Cedar Hill WPCP","36001NY0025739ACWWK","NY0025739","NY001025739A","NY001025739A","wwtp","Town of Bethlehem","Influent",6,31023,"not institution specific","ny","ny",42.54,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL09","NY0026867","NY001026867B","NY001026867B","upstream","Quackenbush","Upstream Unknown",29,3313,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL06","NY0026867","NY001026867D","NY001026867D","upstream","Bouck","Upstream Unknown",29,5371,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL04","NY0026867","NY001026867E","NY001026867E","upstream","Washington","Upstream Unknown",29,13297,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL03","NY0026867","NY001026867F","NY001026867F","upstream","Western","Upstream Unknown",29,16445,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL02","NY0026867","NY001026867I","NY001026867I","upstream","Woodville","Upstream Unknown",29,4330,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL05","NY0026867","NY001026867J","NY001026867J","upstream","Hackett Blvd","Upstream Unknown",29,14575,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12202,"Albany WPD-South Plant","36001NY0026867AL11","NY0026867","NY001026867A","NY001026867A","wwtp","South Plant - City of Albany","Influent",29,80922,"not institution specific","ny","ny",42.63,-73.76
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875ACWWL","NY0026875","NY001026875A","NY001026875A","wwtp","Albany County WPD - North Plant","Influent",35,109426,"not institution specific","ny","ny",42.68,-73.73
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875L001","NY0026875","NY001026875C","NY001026875C","upstream","North Plant - City of Albany","Upstream Unknown",35,18528,"not institution specific","ny","ny",42.68,-73.73
"Albany",36001,"Capital",12204,"Albany County WPD - North Plant","36001NY0026875L002","NY0026875","NY001026875D","NY001026875D","upstream","Village of Menands","Upstream Unknown",35,4061,"not institution specific","ny","ny",42.68,-73.73
