"sample_collect_date","date_received","test_result_date","date_reported","sample_id","sw_id","site_id","pcr_lab","sars_pos","ct","sars2_copies_ml","hum_frac_mic_copies_ml","rec_eff_percent","sample_temp_f","sample_type","flow_rate","flow_rate_flag","quadrant_sample_id","withheld"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY047026212A","36047NY0026212NYCWWJ","NY047026212A","NYC",NA,NA,NA,NA,NA,NA,"",48.4,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY081026158A","36081NY0026158NYCWWE","NY081026158A","NYC",NA,NA,1.204,NA,NA,NA,"",95,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY047026182A","36047NY0026182NYCWWK","NY047026182A","NYC",NA,NA,NA,NA,NA,NA,"",78.6,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY005026191A","36005NY0026191NYCWWC","NY005026191A","NYC",NA,NA,NA,NA,NA,NA,"",125.4,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY081026115A","36081NY0026115NYCWWF","NY081026115A","NYC",NA,NA,NA,NA,NA,NA,"",75.9,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY047026204A","36047NY0026204NYCWWG","NY047026204A","NYC",NA,NA,NA,NA,NA,NA,"",189.2,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY061026247A","36061NY0026247NYCWWA","NY061026247A","NYC",NA,NA,NA,NA,NA,NA,"",102,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY085026174A","36085NY0026174NYCWWM","NY085026174A","NYC",NA,NA,NA,NA,NA,NA,"",27.9,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY047026166A","36047NY0026166NYCWWI","NY047026166A","NYC",NA,NA,NA,NA,NA,NA,"",88.8,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY085026107A","36085NY0026107NYCWWN","NY085026107A","NYC",NA,NA,NA,NA,NA,NA,"",26.9,"imputed","","Reported"
"2020-08-31","","2020-09-01","2022-08-31","20200831NY047027073A","36047NY0027073NYCWWH","NY047027073A","NYC",NA,NA,NA,NA,NA,NA,"",26.2,"imputed","","Reported"
